County,China_National_Party,Democratic_Progressive_Party,Other
台北市,37.49,51.96,10.55
新北市,33.34,54.79,11.87
基隆市,35.29,48.22,16.49
宜蘭縣,25.38,62.06,12.56
桃園市,34.39,51.03,14.58
新竹縣,35.28,42.52,22.2
新竹市,32.42,51.22,16.35
苗栗縣,37.55,45.45,17
台中市,29.82,55.01,15.17
彰化縣,28.8,56.47,14.73
南投縣,32.08,52.23,15.69
雲林縣,24.93,63.41,11.66
嘉義縣,23.38,65.37,11.25
嘉義市,27.95,59.86,12.19
台南市,22.07,67.52,10.41
高雄市,26,63.39,10.61
屏東縣,26.99,63.49,9.52
台東縣,47.72,36.94,16.96
花蓮縣,44.62,38.42,15.34
澎湖縣,29.48,50.81,19.71
金門縣,66.1,18,15.9
連江縣,68.6,16.54,14.86
